{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
7299;9.31E-05;0.000114155;2.38E-06;0.000114155;0;0.044688315;0;0.659082952;0.386005757;0
7300;9.20E-05;0.000114155;8.30E-06;0.000114155;0;0.06919481;0;0.642152665;0.387021562;0
7301;9.23E-05;0.000114155;2.49E-05;0.000114155;0;0.072077927;0;0.648496237;0.381265336;0
7302;9.06E-05;0.000114155;6.93E-05;0.000114155;0.007386787;0.053337666;0;0.613141401;0.387698766;0
7303;9.73E-05;0.000114155;0.000143;0.000114155;9.12E-02;0.023064937;0;0.662578965;0.384989953;0.007436033
7304;1.08E-04;0.000114155;0.00019;0.000114155;0.426775746;0.001441559;0;0.669542796;0.456434878;0.367681447
7305;1.18E-04;0.000114155;0.000168;0.000114155;0.632292587;0;0;0.675139236;0.482845799;0.563349238
7306;1.25E-04;1.14E-04;0.000165;0.000114155;0.596647234;0.014415585;0;0.680636998;0.452033058;0.214175797
7307;1.28E-04;1.14E-04;0.000179;0.000114155;0.905652966;0.047571432;0;0.662663546;0.453726066;0.826039813
7308;1.28E-04;1.14E-04;0.000196;0.000114155;0.95147567;0.111000008;0;0.668020338;0.452033058;0.870221009
7309;1.26E-04;1.14E-04;0.000195;0.000114155;0.931835023;0.171545467;0;0.680763869;0.416141295;0.851401116
7310;1.31E-04;1.14E-04;0.000185;0.000114155;0.847543572;0.214792223;0;0.695551439;0.407676257;0.769571927
7311;1.32E-04;1.14E-04;0.000199;0.000114155;0.536806048;0.223441574;0;0.717020902;0.415802693;0.202759107
7312;1.30E-04;1.14E-04;0.000216;0.000114155;0.345660613;0.203259755;0;0.677761245;0.405306045;0.094509841
7313;1.25E-04;1.14E-04;0.000224;0.000114155;0.302250925;0.15857144;0;0.695819278;0.406999054;0.251364168
7314;1.20E-04;1.14E-04;0.000198;0.000114155;0.027905641;0.103792215;0;0.653500609;0.673478467;0
7315;0.000125614;0.000114155;1.37E-04;0.000114155;0;0.0591039;0;0.706532865;0.876977994;0
7316;0.000141706;0.000114155;9.07E-05;0.000114155;0;0.027389612;0;0.891356337;0.869190158;0
7317;1.40E-04;0.000114155;6.33E-05;0.000114155;0;0.011532468;0;0.83011973;0.857677705;0
7318;1.32E-04;0.000114155;4.11E-05;0.000114155;0;0.007207793;0;0.720714271;0.852598682;0
7319;1.21E-04;0.000114155;2.46E-05;0.000114155;0;0.004324676;0;0.704770761;0.307788801;0
7320;1.07E-04;0.000114155;8.08E-06;0.000114155;0;0.002883117;0;0.673475811;0.187923855;0
7321;9.45E-05;0.000114155;6.77E-06;0.000114155;0;0.002883117;0;0.675928658;0.396841007;0
7322;9.17E-05;0.000114155;3.75E-06;0.000114155;0;0.002883117;0;0.627195934;0.412416677;0
7323;8.98E-05;0.000114155;2.38E-06;0.000114155;0;0.002883117;0;0.591164449;0.413093881;0
7324;8.92E-05;0.000114155;8.30E-06;0.000114155;0;0.005766234;0;0.585624398;0.419188709;0
7325;9.04E-05;0.000114155;2.49E-05;0.000114155;0;0.012974027;0;0.596070145;0.420881715;0
7326;9.45E-05;0.000114155;6.93E-05;0.000114155;0.002462262;0.021623378;0;0.66388997;0.419188709;0
7327;9.68E-05;0.000114155;0.000143;0.000114155;1.27E-01;0.015857144;0;0.665229168;0.387021562;0.034717901
7328;0.000104;0.000114155;0.00019;0.000114155;0.277587263;0.002883117;0;0.695452761;0.41952731;0.076502495
7329;0.00011;0.000114155;0.000168;0.000114155;0.482726557;0;0;0.690462485;0.414786889;0.195462602
7330;0.000112;0.000114155;0.000165;0.000114155;0.78455069;0.005766234;0;0.691646618;0.421220318;0.709041308
7331;0.000114;1.14E-04;0.000179;0.000114155;0.89421986;0.056220783;0;0.688869544;0.490972236;0.814606707
7332;0.000113;1.14E-04;0.000196;0.000114155;0.942504827;0.142714296;0;0.694776113;0.522123577;0.861250166
7333;0.000112;1.14E-04;0.000195;0.000114155;0.924505689;0.216233782;0;0.668203598;0.52280078;0.844071781
7334;0.000114;1.14E-04;0.000185;0.000114155;0.841026784;0.266688331;0;0.681623775;0.550904709;0.763875893
7335;0.000115;1.14E-04;0.000199;0.000114155;0.701071785;0.288311709;0;0.699681807;0.55124331;0.629666173
7336;0.000114;1.14E-04;0.000216;0.000114155;0.514415875;0.256597421;0;0.686585858;0.555306528;0.451217805
7337;0.000112;1.14E-04;0.000224;0.000114155;3.00E-01;0.181636377;0;0.698441288;0.554967927;0.248926528
7338;0.000110771;0.000114155;0.000198;0.000114155;0.084718244;0.100909098;0;0.695974343;0.776751937;0.055991849
7339;0.000120675;0.000114155;1.37E-04;0.000114155;0;0.047571432;0;0.74793524;0.884765829;0
7340;0.000132911;0.000114155;9.07E-05;0.000114155;0;0.018740261;0;0.820942696;0.877316595;0
7341;0.000130253;0.000114155;6.33E-05;0.000114155;0;0.004324676;0;0.767121019;0.872576174;0
7342;0.000122;0.000114155;4.11E-05;0.000114155;0;0.004324676;0;0.706039477;0.869528759;0
7343;0.000111;0.000114155;2.46E-05;0.000114155;0;0.004324676;0;0.682131261;0.591875495;0
7344;1.01E-04;0.000114155;8.08E-06;0.000114155;0;0.002883117;0;0.708309064;0.427315147;0
7345;1.03E-04;0.000114155;6.77E-06;0.000114155;0;0.004324676;0;0.654304129;0.227540236;0
7346;9.95E-05;0.000114155;3.75E-06;0.000114155;0;0.004324676;0;0.659534051;0.244808914;0
7347;9.67E-05;0.000114155;2.38E-06;0.000114155;0;0.004324676;0;0.62464441;0.24616332;0
7348;9.50E-05;0.000114155;8.30E-06;0.000114155;0;0.004324676;0;0.599650738;0.245486117;0
7349;9.51E-05;0.000114155;2.49E-05;0.000114155;0;0.005766234;0;0.597620796;0.245486117;0
7350;9.87E-05;0.000114155;6.93E-05;0.000114155;0.009028296;0.005766234;0;0.654853904;0.247517726;0
