param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION := 
SAEE	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAEE	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAEE	NON_ENERGY	0.0	0.0	0.0	0.0
SAER	ELECTRICITY	3.155337	1.72797	0.1262	0.0
SAER	LIGHTING	0.350593	0.62707	0.1262	0.0
SAER	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAER	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAER	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAER	COOKING	0.0	0.0	0.0	0.0
SAER	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAER	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAER	NON_ENERGY	0.0	0.0	0.0	0.0
SAGB	ELECTRICITY	18.553527	11.1189	8.431415	0.0
SAGB	LIGHTING	2.061503	2.50235	8.431415	0.0
SAGB	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAGB	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAGB	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAGB	COOKING	0.0	0.0	0.0	0.0
SAGB	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAGB	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAGB	NON_ENERGY	0.0	0.0	0.0	0.0
SAIT	ELECTRICITY	2.13075	0.52764	0.001555	0.0
SAIT	LIGHTING	0.23675	0.30698	0.001555	0.0
SAIT	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAIT	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAIT	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAIT	COOKING	0.0	0.0	0.0	0.0
SAIT	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAIT	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAIT	NON_ENERGY	0.0	0.0	0.0	0.0
SAMI	ELECTRICITY	27.524736	23.76144	4.83267	0.0
SAMI	LIGHTING	3.058304	3.86844	4.83267	0.0
SAMI	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAMI	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAMI	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAMI	COOKING	0.0	0.0	0.0	0.0
SAMI	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAMI	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAMI	NON_ENERGY	0.0	0.0	0.0	0.0
SANA	ELECTRICITY	18.61521391	17.86855167	2.2602153	0.0
SANA	LIGHTING	3.64013622	7.282716334	2.2602153	0.0
SANA	HEAT_HIGH_T	0.0	0.67162771	46.42526285	0.0
SANA	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SANA	HEAT_LOW_T_HW	14.50873033	0.0	0.0	0.0
SANA	COOKING	32.39220827	0.0	0.0	0.0
SANA	MOBILITY_PASSENGER	0.0	0.0	0.0	453.4167345
SANA	MOBILITY_FREIGHT	0.0	0.0	0.0	86.27639882
SANA	NON_ENERGY	0.0	0.0	0.2719056	0.0
SASI	ELECTRICITY	13.465989	10.81786	3.08823	0.0
SASI	LIGHTING	1.496221	1.21519	3.08823	0.0
SASI	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SASI	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SASI	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SASI	COOKING	0.0	0.0	0.0	0.0
SASI	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SASI	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SASI	NON_ENERGY	0.0	0.0	0.0	0.0
