  
 set  T_H_TD  :=  		 
(	1	,	1	,	3	)
(	2	,	2	,	3	)
(	3	,	3	,	3	)
(	4	,	4	,	3	)
(	5	,	5	,	3	)
(	6	,	6	,	3	)
(	7	,	7	,	3	)
(	8	,	8	,	3	)
(	9	,	9	,	3	)
(	10	,	10	,	3	)
(	11	,	11	,	3	)
(	12	,	12	,	3	)
(	13	,	13	,	3	)
(	14	,	14	,	3	)
(	15	,	15	,	3	)
(	16	,	16	,	3	)
(	17	,	17	,	3	)
(	18	,	18	,	3	)
(	19	,	19	,	3	)
(	20	,	20	,	3	)
(	21	,	21	,	3	)
(	22	,	22	,	3	)
(	23	,	23	,	3	)
(	24	,	24	,	3	)
(	25	,	1	,	5	)
(	26	,	2	,	5	)
(	27	,	3	,	5	)
(	28	,	4	,	5	)
(	29	,	5	,	5	)
(	30	,	6	,	5	)
(	31	,	7	,	5	)
(	32	,	8	,	5	)
(	33	,	9	,	5	)
(	34	,	10	,	5	)
(	35	,	11	,	5	)
(	36	,	12	,	5	)
(	37	,	13	,	5	)
(	38	,	14	,	5	)
(	39	,	15	,	5	)
(	40	,	16	,	5	)
(	41	,	17	,	5	)
(	42	,	18	,	5	)
(	43	,	19	,	5	)
(	44	,	20	,	5	)
(	45	,	21	,	5	)
(	46	,	22	,	5	)
(	47	,	23	,	5	)
(	48	,	24	,	5	)
(	49	,	1	,	2	)
(	50	,	2	,	2	)
(	51	,	3	,	2	)
(	52	,	4	,	2	)
(	53	,	5	,	2	)
(	54	,	6	,	2	)
(	55	,	7	,	2	)
(	56	,	8	,	2	)
(	57	,	9	,	2	)
(	58	,	10	,	2	)
(	59	,	11	,	2	)
(	60	,	12	,	2	)
(	61	,	13	,	2	)
(	62	,	14	,	2	)
(	63	,	15	,	2	)
(	64	,	16	,	2	)
(	65	,	17	,	2	)
(	66	,	18	,	2	)
(	67	,	19	,	2	)
(	68	,	20	,	2	)
(	69	,	21	,	2	)
(	70	,	22	,	2	)
(	71	,	23	,	2	)
(	72	,	24	,	2	)
(	73	,	1	,	7	)
(	74	,	2	,	7	)
(	75	,	3	,	7	)
(	76	,	4	,	7	)
(	77	,	5	,	7	)
(	78	,	6	,	7	)
(	79	,	7	,	7	)
(	80	,	8	,	7	)
(	81	,	9	,	7	)
(	82	,	10	,	7	)
(	83	,	11	,	7	)
(	84	,	12	,	7	)
(	85	,	13	,	7	)
(	86	,	14	,	7	)
(	87	,	15	,	7	)
(	88	,	16	,	7	)
(	89	,	17	,	7	)
(	90	,	18	,	7	)
(	91	,	19	,	7	)
(	92	,	20	,	7	)
(	93	,	21	,	7	)
(	94	,	22	,	7	)
(	95	,	23	,	7	)
(	96	,	24	,	7	)
(	97	,	1	,	3	)
(	98	,	2	,	3	)
(	99	,	3	,	3	)
(	100	,	4	,	3	)
(	101	,	5	,	3	)
(	102	,	6	,	3	)
(	103	,	7	,	3	)
(	104	,	8	,	3	)
(	105	,	9	,	3	)
(	106	,	10	,	3	)
(	107	,	11	,	3	)
(	108	,	12	,	3	)
(	109	,	13	,	3	)
(	110	,	14	,	3	)
(	111	,	15	,	3	)
(	112	,	16	,	3	)
(	113	,	17	,	3	)
(	114	,	18	,	3	)
(	115	,	19	,	3	)
(	116	,	20	,	3	)
(	117	,	21	,	3	)
(	118	,	22	,	3	)
(	119	,	23	,	3	)
(	120	,	24	,	3	)
